date,house_size,bed,bath,price,broker,street,city,state_name,zip_code
"AUG 29, 2024","1,100 sqft",2bd,2bd,"$440,000","Chicagoland Brokers, Inc., Closed",5005 Elm St, Skokie,Illinois,60077
"AUG 29, 2024",,2bd,2bd,"$289,000","Koral Realty, Closed",6701 N  Milwaukee Ave #402, Niles,Illinois,60714
"AUG 29, 2024","1,125 sqft",2bd,2bd,"$272,000","Berkshire Hathaway HomeServices Chicago, Closed",525 Grove St #3C, Evanston,Illinois,60201
"AUG 29, 2024","1,368 sqft",3bd,3bd,"$490,000","Continental Real Estate Group, Closed",4609 N  Forestview Ave, Chicago,Illinois,60656
"AUG 29, 2024",980 sqft,2bd,2bd,"$305,000","Baird & Warner, Closed",3928 N  Oconto Ave, Chicago,Illinois,60634
"AUG 29, 2024","2,000 sqft",3bd,3bd,"$290,000","Compass, Closed",7910 W  Fletcher St, Chicago,Illinois,60707
"AUG 29, 2024","2,900 sqft",4bd,4bd,"$475,000","Hometown Real Estate, Closed",2613 N  75th Ave, Elmwood Park,Illinois,60707
"AUG 29, 2024","1,339 sqft (on 0.25 acres)",3bd,3bd,"$290,000","Smart Home Realty, Closed",405 Major Dr, Northlake,Illinois,60164
"AUG 29, 2024","2,100 sqft",4bd,4bd,"$478,000","Berkshire Hathaway HomeServices Chicago, Closed",2231 N  75th Ave, Elmwood Park,Illinois,60707
"AUG 29, 2024",900 sqft,2bd,2bd,"$200,000","Hometown Real Estate, Closed",4835 N  Harlem Ave #2, Chicago,Illinois,60656
"AUG 29, 2024",,5bd,5bd,"$880,000","Compass, Closed",3817 N  Drake Ave, Chicago,Illinois,60618
"AUG 29, 2024","2,200 sqft",3bd,3bd,"$460,000","Dwell, Closed",2930 N  Dawson Ave, Chicago,Illinois,60618
"AUG 29, 2024",,Studio,Studio,"$26,500",,1415 W  Catalpa Ave #G6, Chicago,Illinois,60640
"AUG 29, 2024",,2bd,2bd,"$310,000","Dralyuk Real Estate Inc., Closed",5415 N  Sheridan Rd #1606, Chicago,Illinois,60640
"AUG 29, 2024",640 sqft,1bd,1bd,"$205,000","Berkshire Hathaway HomeServices Chicago, Closed",3430 N  Lake Shore Dr #3N, Chicago,Illinois,60657
"AUG 29, 2024",,1bd,1bd,"$170,000","Berkshire Hathaway HomeServices Chicago, Closed",420 W  Aldine Ave #327, Chicago,Illinois,60657
"AUG 29, 2024","6,000 sqft",8bd,8bd,"$2,100,000","Coldwell Banker Realty, Closed",627 W  Melrose St, Chicago,Illinois,60657
"AUG 29, 2024",,1bd,1bd,"$390,000","@properties Christie's International Real Estate, Closed",2020 N  Lincoln Park W #18G, Chicago,Illinois,60614
"AUG 29, 2024","1,950 sqft",3bd,3bd,"$355,000","Pete Highland Realty, Ltd, Closed",503 48th Ave, Bellwood,Illinois,60104
"AUG 29, 2024",728 sqft,1bd,1bd,"$120,000","Su Familia Real Estate Inc, Closed",1917 S  22nd Ave, Maywood,Illinois,60153
"AUG 29, 2024","3,769 sqft (on 0.26 acres)",5bd,5bd,"$1,144,200","Berkshire Hathaway-Chicago, Closed",192 Gage Rd, Riverside,Illinois,60546
"AUG 29, 2024","1,925 sqft",3bd,3bd,"$735,000","@properties Christie's International Real Estate, Closed",929 Columbian Ave, Oak Park,Illinois,60302
"AUG 29, 2024","1,000 sqft",1bd,1bd,"$215,000","Baird & Warner, Closed",220 N  Oak Park Ave #2T, Oak Park,Illinois,60302
"AUG 29, 2024",,,,"$8,000","Chicago Realty Partners, Ltd, Closed",4833 W  Quincy St, Chicago,Illinois,60644
"AUG 29, 2024","1,284 sqft",2bd,2bd,"$380,000","@properties Christie's International Real Estate, Closed",1140 S  Taylor Ave, Oak Park,Illinois,60304
"AUG 29, 2024","2,000 sqft",4bd,4bd,"$510,000","Berkshire Hathaway HomeServices Chicago, Closed",3205 Wenonah Ave, Berwyn,Illinois,60402
"AUG 29, 2024","1,886 sqft",3bd,3bd,"$298,000","Baird & Warner, Closed",3200 Highland Ave, Berwyn,Illinois,60402
"AUG 29, 2024","4,500 sqft",3bd,3bd,"$1,300,000","Baird & Warner, Closed",219 E  Lake Shore Dr #8AB, Chicago,Illinois,60611
"AUG 29, 2024","1,100 sqft",1bd,1bd,"$307,000","Baird & Warner, Closed",200 E  Delaware Pl #17B, Chicago,Illinois,60611
"AUG 29, 2024","1,050 sqft",1bd,1bd,"$240,000","@properties Christie's International Real Estate, Closed",201 E  Chestnut St #14C, Chicago,Illinois,60611
"AUG 29, 2024","1,904 sqft",2bd,2bd,"$960,000","Baird & Warner, Closed",161 E  Chicago Ave #41F, Chicago,Illinois,60611
"AUG 29, 2024","2,100 sqft",2bd,2bd,"$560,000","Compass, Closed",680 N  Lake Shore Dr #918, Chicago,Illinois,60611
"AUG 29, 2024","4,183 sqft (on 0.29 acres)",4bd,4bd,"$1,325,000","Coldwell Banker Realty, Closed",141 Sunset Ave, La Grange,Illinois,60525
"AUG 29, 2024","5,753 sqft (on 0.37 acres)",5bd,5bd,"$1,500,000","Compass, Closed",347 Blackstone Ave, La Grange,Illinois,60525
"AUG 29, 2024","1,700 sqft",3bd,3bd,"$321,000","@properties Christie's International Real Estate, Closed",34 Shawnee Trl #3, Indian Head Park,Illinois,60525
"AUG 29, 2024","1,198 sqft",5bd,5bd,"$240,000","Duarte Realty Company, Closed",4822 S  Kolin Ave, Chicago,Illinois,60632
"AUG 29, 2024","1,075 sqft",5bd,5bd,"$305,000","America Real Estate, Closed",5554 S  Kilbourn Ave, Chicago,Illinois,60629
"AUG 29, 2024","1,128 sqft",4bd,4bd,"$399,900","@properties Christie's International Real Estate, Closed",7105 W  63rd Pl, Chicago,Illinois,60638
