date,bed,bath,price,broker,street,city,state_name,zip_code,house_sqft
2024-08-27,3.0,3.0,100000.0,Unknown,768 2nd St, Chipley,Florida,32428,1792.0
2024-08-27,5.0,5.0,11500000.0,Coastal Luxury,376 Beachfront Trl, Santa Rosa Beach,Florida,32459,4645.0
2024-08-27,5.0,5.0,334900.0,RE/MAX Agency One,5318 Chesterfield Rd, Crestview,Florida,32539,2241.0
2024-08-27,3.0,3.0,700000.0,The Premier Property Group,37 Courtyard Cir, Santa Rosa Beach,Florida,32459,1876.0
2024-08-27,3.0,3.0,1600000.0,Coastal Realty Partners,5300 Pale Moon Dr, Perdido Key,Florida,32507,4063.0
2024-08-27,2.0,2.0,420000.0,"MARK DOWNEY & ASSOCIATES, INC.",1150 Fort Pickens Rd #D12, Pensacola Beach,Florida,32561,768.0
2024-08-27,2.0,2.0,455000.0,Levin Rinke Realty,1150 Fort Pickens Rd #H5, Pensacola Beach,Florida,32561,768.0
2024-08-27,3.0,3.0,2100000.0,Coastal Abode,219 Scenic Gulf Dr #330, Miramar Beach,Florida,32550,2500.0
2024-08-27,2.0,2.0,492000.0,Unknown,14701 Front Beach Rd #430, Panama City Beach,Florida,32413,1299.0
2024-08-27,4.0,4.0,3425000.0,The Premier Property Group,3508 Burnt Pine Ln, Miramar Beach,Florida,32550,5318.0
2024-08-27,3.0,3.0,360000.0,"Armor Realty, Inc",2858 Ben Stoutamire Rd, Tallahassee,Florida,32310,1485.0
2024-08-27,3.0,3.0,292500.0,Waypoint Properties,31 Pecan St, Crawfordville,Florida,32327,1304.0
2024-08-27,2.0,2.0,210000.0,Unknown,13717 Windsor Ave, Youngstown,Florida,32466,1020.0
2024-08-27,2.0,2.0,1650000.0,Rosemary Beach Realty LLC,78 N  Barrett Sq #12, Inlet Beach,Florida,32461,924.0
2024-08-27,4.0,4.0,318000.0,"Regal Homes, LLC",6252 Jordans Pass Dr, Tallahassee,Florida,32304,1907.0
2024-08-27,4.0,4.0,335000.0,American Valor Realty LLC,8736 Daryl Dr, Milton,Florida,32583,1800.0
2024-08-27,4.0,4.0,550000.0,World Impact Real Estate Gulf Breeze,7134 Menton St, Navarre,Florida,32566,2761.0
2024-08-27,2.0,2.0,665000.0,"St George Island Realty, LLC",725 W  Pine Ave, Eastpoint,Florida,32328,1248.0
2024-08-27,3.0,3.0,270000.0,Pearson Realty Inc.,48 Tuscany Trce, Crawfordville,Florida,32327,1518.0
2024-08-27,2.0,2.0,675000.0,Unknown,256 Seakove St, Panama City Beach,Florida,32413,1550.0
